title,url,hhref,email,phone
Техниксофт,www.teqniksoft.com,https://jobs.tut.by/employer/1227984,set(),set()
Технологии быстрого монтажа,meibes.by,https://jobs.tut.by/employer/1110813,set(),set()
Технологии продвижения,www.im-action.com,https://jobs.tut.by/employer/1582042,{'info@im-action.com'},set()
Технотон Инжиниринг,rd-technoton.com,https://jobs.tut.by/employer/2859105,{'info@rd-technoton.com'},set()
Техспайр / TechSpire Ltd.,techspire.net,https://jobs.tut.by/employer/1890269,set(),set()
Тимедиа,teamedia.co,https://jobs.tut.by/employer/2362862,{'hello@teamedia.co'},set()
ТИМУС ТЕХНОЛОГИИ,WWW.TIMUS.BY,https://jobs.tut.by/employer/2477544,{'info@timus.by'},set()
ТИНГБАЙ,ting.by,https://jobs.tut.by/employer/1274421,set(),set()
Ткаченя П.А.,starmedia.by,https://jobs.tut.by/employer/2562795,{'info@starmedia.by'},set()
ТКП-Софт,www.tcp-soft.com,https://jobs.tut.by/employer/836042,"{'email@mail.ru', 'info@tcp-soft.com'}",set()
Тодос-Инвест,todos.by,https://jobs.tut.by/employer/1566001,{'sales.todosinvest@gmail.com'},set()
