title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Coms,co-ms.ru,set(),set(),,,https://moikrug.ru/companies/coms
Chatra,chatra.io,set(),"{'visitors-status-fields.en@2x.png', 'trial.en@2x.png', 'support@chatra.io', 'visitors-status-legend.en@2x.png', 'icon-144x144@2x.png', 'agentid--en@2x.png'}",,,https://moikrug.ru/companies/chatra
Ренессанс Страхование,renins.com,set(),{'pr@renins.com'},,,https://moikrug.ru/companies/renins
МногоСна,матрас-купить-недорого.рф,+79262667802,sales@mnogosna.ru,,,https://moikrug.ru/companies/mnogosna
StrahovkaRU.ru,strahovkaru.ru,+79626956445,kg@strahovkaru.ru,,,https://moikrug.ru/companies/strahovkaruru
Мега-Ф,mf-t.ru,+7 (495) 649-71-74,Lanskaya@mega-f.ru,,,https://moikrug.ru/companies/mega-f
Квартплата 24,kvp24.ru,8 (8482) 65-00-24,info@kvp24.ru,,,https://moikrug.ru/companies/kvp24
Open Systems Development,osdkz.com,,hr@osdkz.com,,,https://moikrug.ru/companies/osd
CUSTIS,,,sales@custis.ru,CUSTIS.Russia,custis,https://moikrug.ru/companies/custis
New Cult,newcult.ru,,info@newcult.ru,,,https://moikrug.ru/companies/newcult
PiRL Ventures,pirlventures.com,,hr@pirlventures.com,,,https://moikrug.ru/companies/pirl
Square Nest Research Labs,,set(),set(),,,https://moikrug.ru/companies/5ac9ebe6-59f6-4b91-a33b-b44222fa5e9c
NBCom Group,nbcomgroup.ru,set(),set(),,,https://moikrug.ru/companies/nbcomgroup
Puzzle English,puzzle-english.com,,support@puzzle-english.ru,puzzleenglish,,https://moikrug.ru/companies/puzzle-english
Axept Inc.,axept.co,+74994901510,office@axept.co,,,https://moikrug.ru/companies/axept
Mail.Ru Group,corp.mail.ru,set(),"{'support@corp.mail.ru', 'hr@corp.mail.ru', 'Rating@Mail.ru', 'pr@corp.mail.ru'}",mailrugroup,,https://moikrug.ru/companies/mailrugroup
Центр Финансовых Технологий,group.cft.ru,+7 (383) 336-49-49 (вн.5689),personal@ftc.ru,,,https://moikrug.ru/companies/cft
Reffection,reffection.com,89295431778,fedorova@reffection.com,,,https://moikrug.ru/companies/reffection
REG.RU,reg.ru,set(),"{'user@example.ru', 'Rating@Mail.ru'}",,,https://moikrug.ru/companies/regru
DostaЕвский,dostaevsky.ru,set(),"{'chistyakova@dostaevsky.ru', 'pr@dostaevsky.ru', 'ork@dostaevsky.ru', 'i.homenko@dostaevsky.ru', 'm.kozina@dostaevsky.ru', 'your@email.com', 'd.golentovskiy@dostaevsky.ru', 'personal@dostaevsky.ru', 'lazareva@dostaevsky.ru'}",,,https://moikrug.ru/companies/dostaevsky
Аутсорс-продакшен iBrush,ibrush.ru,+7 (495) 540-47-68,mailbox@ibrush.ru,iBrushpage,,https://moikrug.ru/companies/ibrush-development
TraceAir,traceair.net,+1 (206) 973-99-58,job@traceair.net,traceair,,https://moikrug.ru/companies/traceair
INTERSTEP,inter-step.ru,set(),"{'sarhipenkov@inter-step.ru', 'Degelevitch@inter-step.ru', 'info@inter-step.ru', 'ekaznacheeva@inter-step.ru', 'info@interstep.ru', 'terakopyan1989@mail.ru', 'pkulik@inter-step.ru', 'dboychenkov@inter-step.ru', 'lkunakbaeva@inter-step.ru', 'techsupport@inter-step.ru'}",,,https://moikrug.ru/companies/inter-step
Onlinetours.ru,onlinetours.ru,set(),set(),,,https://moikrug.ru/companies/onlinetours
automacon,,set(),set(),,,https://moikrug.ru/companies/automacon
